name,team,position,badge
Daniel Szymkowiak,Website,Website Development Lead,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""de_DE"" data-type=""vertical"" data-theme=""light"" data-vanity=""daniel-s-61651a163""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/daniel-s-61651a163?trk=profile-badge'>Daniel S.</a></div>"
Daniela Hölzer,Website,Project Manager,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""danielahoelzer""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/danielahoelzer?trk=profile-badge'>Daniela Hölzer</a></div>"
Tim Caspary,Website,Project Manager,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""de_DE"" data-type=""vertical"" data-theme=""light"" data-vanity=""tim-caspary""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/tim-caspary?trk=profile-badge'>Tim Caspary</a></div>"
Fabio Balli,Civil society (Partner Management),Project Manager,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""fabioballi""><a class=""LI-simple-link"" href='https://ch.linkedin.com/in/fabioballi/en?trk=profile-badge'>Fabio Balli</a></div>"
Pieter Paul van Oerle,Community Management,Domain Lead Digital Finance,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""pieterpaul""><a class=""LI-simple-link"" href='https://nl.linkedin.com/in/pieterpaul?trk=profile-badge'>Pieter Paul van Oerle</a></div>"
Michael Ionita,Operations,Project Manager,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""michaelionita""><a class=""LI-simple-link"" href='https://at.linkedin.com/in/michaelionita?trk=profile-badge'>Michael Ionita-Ganea</a></div>"
Oliver Bruemmer,Decision Making,Co-Initiator & National Curator,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""oliverbruemmer""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/oliverbruemmer?trk=profile-badge'>Oliver Bruemmer</a></div>"
Colin Keogh,Decision Making,National co-curator ,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""colin-keogh""><a class=""LI-simple-link"" href='https://ie.linkedin.com/in/colin-keogh?trk=profile-badge'>Colin Keogh</a></div>"
David Pollard,Decision Making,National co-curator ,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""davidpollardirl""><a class=""LI-simple-link"" href='https://ie.linkedin.com/in/davidpollardirl?trk=profile-badge'>David R. Pollard</a></div>"
Anna Khan,Decision Making,National co-curator ,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""ankakhan""><a class=""LI-simple-link"" href='https://it.linkedin.com/in/ankakhan?trk=profile-badge'>Anna Khan</a></div>"
